"Run","Sex","Rat","Condition","Extinction 1 (Active Lever Presses)","Footshock Reinstatement (Active Lever Presses)","Dry Ice BSLN","Dry Ice Exp","Von BSLN force in mN","Von Exp force in mN","Hargreaves BSLN","Hargreaves Exp","Baseline ACTH Diurnal PM","Baseline ACTH Diurnal AM = 0 min","Baseline ACTH 30 min","Baseline ACTH 60 min","Baseline ACTH 90 min","Baseline ACTH 150 min","Exp. ACTH Diurnal PM","Exp. ACTH Diurnal AM = 0 min","Exp. ACTH 30 min","Exp. ACTH 60 min","Exp. ACTH 90 min","Exp. ACTH 150 min","Baseline Cort Diurnal PM","Baseline Cort Diurnal AM = 0 min","Baseline Cort 30 min","Baseline Cort 60 min","Baseline Cort 90 min","Baseline Cort 150 min","Exp. Cort Diurnal PM","Exp. Cort Diurnal AM = 0 min","Exp. Cort 30 min","Exp. Cort 60 min","Exp. Cort 90 min","Exp. Cort 150 min","Baseline TL Distance (m) OF","Exp. TL Distance (m) OF","Baseline Time in outer squares (s)","Exp. Time in outer squares (s)","Baseline Cort AUC","Exp. Cort AUC","Baseline ACTH AUC","Exp. ACTH AUC"
"Op5","F",45,"AC",61,13,15.07,15.29625,19.72593,28.13188,12.02625,17.3475,187.4,123,520.2,135.4,124.6,119,200.2,152.2,181.2,108.6,119.4,130.4,556.65,487.95,1065,268.65,588.75,331.8,545.4,327.75,722.7,262.65,276.45,378.6,52.258,59.072,561.3,487.3,43479,18877.5,12840,3972
"Op5","F",46,"AC",259,24,17.4025,15.98,18.92184,19.72593,15.595,15.4725,227,155.2,251.6,196,147.4,176.6,NA,208.8,208,151.8,129.6,149.4,666.9,585,582,399.6,324,451.8,192.15,370.65,587.1,263.55,114,233.85,65.301,61.789,531.1,427.1,17757,26124.75,5577,4800
"Op5","F",47,"SR",166,83,17.00375,15.53875,25.30458,18.92184,13.8375,12.98125,137.4,131.4,125,138.8,142.4,149.2,NA,179,NA,176.6,152.2,158.2,483,552.75,333.9,373.95,423.6,1092.9,415.95,321.75,460.8,399.3,228.45,75.45,54.268,52.602,552.8,449.9,31290.75,31855.5,2019,NA
"Op6","F",48,"SR",87,60,17.83875,14.565,25.30458,18.92184,17.755,11.59125,154.8,167.4,708,219.8,138.2,99.6,137.4,140.6,NA,184,498.8,191,587.25,541.2,1413.75,587.85,387.9,99.3,304.5,285.3,533.4,242.4,532.35,558.9,53.249,49.762,537.4,535.4,73705.5,31916.25,24612,NA
"Op6","F",49,"AC",62,61,16.9025,14.9875,73.66366,59.08371,13.73875,16.1825,188.6,119.4,200.2,95.2,104,61.4,158.6,165.2,188.4,161.6,128.6,117.2,622.5,485.55,1418.25,282.45,365.55,43.35,598.2,280.35,1305.75,400.5,236.85,219.6,59.319,53.107,558.4,475.2,69552,39699,7965,4701
"Op6","F",50,"SR",144,123,15.945,16.32625,18.92184,18.92184,13.6275,13.8525,154.8,129,673,120.8,109.8,97.4,150,154.2,162.6,109.4,102,119.6,1014.6,688.65,1540.35,176.85,26.775,482.55,491.4,670.35,1012.5,331.95,431.1,627,65.36,70.168,559.3,516.9,73510.875,38805.75,19002,3351
"Op6","F",51,"SR",63,18,17.2125,17.04,83.77432,18.92184,15.7475,8.72,165.2,191.2,229.6,166.2,124,151.2,NA,NA,230.06,135.4,202,179.2,931.2,636.3,1159.05,438,231.75,287.1,307.5,455.85,690,353.1,394.8,478.65,65.259,68.327,565,461.6,41735.25,17291.25,6258,NA
"Op6","F",53,"SR",105,16,12.8975,14.235,25.30458,18.92184,16.05125,13.035,208.6,135.8,679.2,166.8,117.4,120.6,136.4,87.6,264.8,141.2,115.8,49.2,1059,201.75,1315.8,263.25,87.45,423.45,391.65,224.55,1124.25,122.1,169.95,22.95,47.937,57.087,543.5,489,53919,45652.5,18708,12801
"Op6","F",55,"AC",91,66,13.8225,14.95625,31.18899,18.92184,12.11125,14.2525,215.8,169.4,240.8,157.4,111.6,NA,104.8,170.4,153.6,146.4,109.8,91,1020.15,1144.95,1696.5,1215,649.95,534.705,356.7,1133.4,1003.05,226.2,224.25,394.8,58.435,56.198,527,441.5,69602.4,42176.25,NA,5577
"Op6","F",56,"AC",144,21,15.7,13.95375,18.92184,18.92184,15.26875,15.67625,91.4,128.4,217,128,96,88.6,107.6,145.8,155.6,117.2,105.8,90.6,839.25,256.35,1329.45,372.75,685.35,538.8,123.15,911.7,1161.45,257.85,371.55,438,68.096,49.105,552.4,494.8,63463.5,47436.75,5964,4260
"Op7","F",57,"SR",35,28,18.5925,17.3325,43.40469,18.92184,14.11625,8.43375,130.4,106.8,1317.2,294,116,117.8,177,202.2,940,196.8,103.6,114.6,755.7,276.3,1262.7,826.2,144,418.35,461.7,451.95,1289.85,654.15,247.95,410.7,62.429,54.152,576.3,480.8,64242,51385.5,42672,29697
"Op7","F",58,"AC",170,42,17.34375,14.32125,31.22819,74.60838,14.445,17.9025,110.2,155.2,515.4,145.6,114.8,109.6,114.2,146,270,93,98.8,100.2,539.25,894.9,1443.45,151.5,92.7,391.2,290.25,1004.25,996.75,166.05,126.75,98.55,59.2,52.445,559.6,498.2,63274.5,43825.5,14172,6582
